time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
410,2,LoRaWAN,173.529,104.191,DELIVERED,0,13,83.6162,1,1,10,100
415,3,LoRaWAN,175.318,1.78936,DELIVERED,0,70,62.4622,1,1,10,100
420,4,LoRaWAN,249.377,74.0589,DELIVERED,0,12,84.5817,1,1,10,100
425,5,LoRaWAN,135.872,113.506,DELIVERED,0,2,103.686,1,1,10,100
430,6,LoRaWAN,304.628,168.756,DELIVERED,0,53,66.0282,1,1,10,100
435,7,LoRaWAN,171.599,133.029,DELIVERED,0,8,89.3727,1,1,10,100
440,8,LoRaWAN,257.371,0,LOST,1,44,68.4036,1,1,10,100
445,9,LoRaWAN,237.371,0,LOST,1,45,68.1173,1,1,10,100
0,4,NB-IoT,318.157,0,DELIVERED,0,34.7357,53.7459,1,1,20,100
0,5,NB-IoT,384,0,DELIVERED,0,90,38.4103,1,1,20,100
0,6,NB-IoT,402,0,DELIVERED,0,90,40.6225,1,1,20,100
0,7,NB-IoT,360,0,DELIVERED,0,90,36.6717,1,1,20,100
0,8,NB-IoT,368.407,0,DELIVERED,0,71.1107,42.9428,1,1,20,100
0,9,NB-IoT,390.99,0,DELIVERED,0,70.4843,45.8701,1,1,20,100
0,10,NB-IoT,399.637,0,DELIVERED,0,87.9552,43.3916,1,1,20,100
0,11,NB-IoT,359.785,0,DELIVERED,0,80.6782,42.5027,1,1,20,100
0,12,NB-IoT,343.305,0,DELIVERED,0,15.4573,67.5921,1,1,20,100
