time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
15,17,Tilapia,312.843,243.91,-1.19959,312.825,243.89,0,0.0271713,22.2018,5.89728,8.00238,0.687482,0.471617,0.526867,0.165037
15,18,Tilapia,-253.179,296.77,-1.95645,-253.22,296.686,0,0.0929423,22.0848,5.71124,7.99099,0.514804,0.683881,0.16634,0.479803
15,19,Tilapia,-190.893,-343.374,-0.755976,-190.826,-343.294,0,0.10424,22.0278,5.98469,7.98551,0.186903,0.433158,0.556434,0.679893
15,20,Tilapia,-418.524,48.0805,-0.842214,-418.586,48.1719,0,0.11031,22.1818,5.79178,7.99365,0.332739,0.667456,0.268647,0.638029
15,21,Tilapia,-196.7,-404.731,-1.9133,-196.764,-404.787,0,0.0844769,22.0218,5.73402,8.01026,0.171487,0.432203,0.594304,0.714626
15,22,Tilapia,347.967,109.758,-1.62546,347.985,109.701,0,0.0599438,22.0259,5.81059,8.00082,0.649844,0.379328,0.578393,0.23688
15,23,Tilapia,158.115,235.313,-0.748038,158.122,235.354,0,0.0410052,22.2417,5.88503,8.00349,0.610815,0.496561,0.429881,0.241534
15,24,Tilapia,-125.084,444.845,-0.570542,-124.974,444.705,0,0.177858,22.1198,5.79845,8.01229,0.634663,0.709138,0.216791,0.383355
15,25,Tilapia,117.106,-287.058,-0.331226,117.067,-287.064,0,0.040057,22.2087,5.74624,8.01348,0.393365,0.247131,0.619991,0.539212
15,26,Tilapia,77.9201,-182.857,-0.92671,77.9068,-182.831,0,0.0294455,22.1355,5.6869,8.01689,0.394428,0.305377,0.549407,0.489387
15,27,Tilapia,-75.755,9.44427,-0.927603,-75.7526,9.49096,0,0.0467549,22.145,5.59304,8.0018,0.395055,0.465488,0.385336,0.457236
15,28,Tilapia,-297.627,167.901,-0.628155,-297.614,167.858,0,0.0450816,22.0068,5.75925,7.99883,0.424255,0.646597,0.213783,0.532727
15,29,Tilapia,-389.486,225.435,-0.313761,-389.55,225.507,0,0.0967553,22.0016,5.80159,8.00323,0.45214,0.718374,0.154993,0.579372
15,30,Tilapia,-170.992,-316.207,-1.16572,-170.983,-316.269,0,0.0619694,22.2753,5.96799,8.00079,0.206287,0.423473,0.543644,0.657583
